id,category_id,name,description,price
1,1,Smartphone A1,Budget smartphone with 128GB storage,19990.00
2,1,Smartphone A2,Mid-range smartphone with OLED display,29990.00
3,2,Laptop B1,14-inch laptop for study and office,54990.00
4,2,Laptop B2,15-inch performance laptop,79990.00
5,3,Tablet C1,10-inch tablet for media and reading,24990.00
6,4,Headphones D1,Wireless over-ear headphones,8990.00
7,4,Earbuds D2,True wireless earbuds with ANC,6990.00
8,5,Smart Bulb E1,Wi-Fi smart bulb with RGB lighting,1490.00
9,6,Gamepad F1,Wireless controller for PC and console,4590.00
10,7,Monitor G1,27-inch IPS monitor 144Hz,21990.00
11,8,SSD H1,1TB NVMe SSD drive,7490.00
12,9,USB-C Hub I1,7-in-1 USB-C hub for laptops,3490.00
13,10,Router J1,Dual-band Wi-Fi 6 router,5990.00
14,13,Smart Watch K1,Fitness watch with heart-rate tracking,12990.00
15,14,Camera L1,Mirrorless camera for beginners,45990.00
